TUCASEID,newAct,remote,TUACTDUR24
20180101181184,Sleeping,Remote,245.0
20180101181184,Socialising & relaxing,Remote,422.0
20180101181184,Travelling,Remote,68.0
20180101181184,Working,Remote,120.0
20180101181236,Doing housework,Remote,0.0
20180101181236,Eating & Drinking,Remote,155.0
20180101181236,Exercising,Remote,0.0
20180101181236,Sleeping,Remote,570.0
20180101181236,Socialising & relaxing,Remote,376.0
20180101181236,Travelling,Remote,135.0
20180101181236,Working,Remote,90.0
20180101181511,Doing housework,Non-remote,0.0
20180101181511,Eating & Drinking,Non-remote,30.0
20180101181511,Exercising,Non-remote,0.0
20180101181511,Sleeping,Non-remote,585.0
20180101181511,Socialising & relaxing,Non-remote,440.0
20180101181511,Travelling,Non-remote,80.0
20180101181511,Working,Non-remote,290.0
20180101181549,Doing housework,Non-remote,0.0
20180101181549,Eating & Drinking,Non-remote,0.0
20180101181549,Exercising,Non-remote,59.0
20180101181549,Sleeping,Non-remote,400.0
20180101181549,Socialising & relaxing,Non-remote,169.0
20180101181549,Travelling,Non-remote,46.0
20180101181549,Working,Non-remote,626.0
20180101181557,Doing housework,Non-remote,0.0
20180101181557,Eating & Drinking,Non-remote,75.0
20180101181557,Exercising,Non-remote,0.0
20180101181557,Sleeping,Non-remote,340.0
20180101181557,Socialising & relaxing,Non-remote,45.0
20180101181557,Travelling,Non-remote,90.0
20180101181557,Working,Non-remote,470.0
20180101181567,Doing housework,Non-remote,0.0
20180101181567,Eating & Drinking,Non-remote,60.0
20180101181567,Exercising,Non-remote,0.0
20180101181567,Sleeping,Non-remote,840.0
20180101181567,Socialising & relaxing,Non-remote,35.0
20180101181567,Travelling,Non-remote,38.0
20180101181567,Working,Non-remote,400.0
20180101181640,Doing housework,Non-remote,0.0
20180101181640,Eating & Drinking,Non-remote,90.0
20180101181640,Exercising,Non-remote,0.0
20180101181640,Sleeping,Non-remote,440.0
20180101181640,Socialising & relaxing,Non-remote,120.0
20180101181640,Travelling,Non-remote,80.0
20180101181640,Working,Non-remote,530.0
20180101181655,Doing housework,Remote,0.0
20180101181655,Eating & Drinking,Remote,71.0
20180101181655,Exercising,Remote,0.0
20180101181655,Sleeping,Remote,420.0
20180101181655,Socialising & relaxing,Remote,355.0
20180101181655,Travelling,Remote,8.0
20180101181655,Working,Remote,550.0
20180101181703,Doing housework,Non-remote,0.0
20180101181703,Eating & Drinking,Non-remote,50.0
20180101181703,Exercising,Non-remote,90.0
20180101181703,Sleeping,Non-remote,450.0
20180101181703,Socialising & relaxing,Non-remote,0.0
20180101181703,Travelling,Non-remote,60.0
20180101181703,Working,Non-remote,585.0
20180101181809,Doing housework,Non-remote,60.0
20180101181809,Eating & Drinking,Non-remote,130.0
20180101181809,Exercising,Non-remote,0.0
20180101181809,Sleeping,Non-remote,508.0
20180101181809,Socialising & relaxing,Non-remote,180.0
20180101181809,Travelling,Non-remote,4.0
20180101181809,Working,Non-remote,478.0
20180101181870,Doing housework,Non-remote,0.0
20180101181870,Eating & Drinking,Non-remote,15.0
20180101181870,Exercising,Non-remote,0.0
20180101181870,Sleeping,Non-remote,540.0
20180101181870,Socialising & relaxing,Non-remote,507.0
20180101181870,Travelling,Non-remote,36.0
20180101181870,Working,Non-remote,307.0
20180101181937,Doing housework,Non-remote,0.0
20180101181937,Eating & Drinking,Non-remote,65.0
20180101181937,Exercising,Non-remote,0.0
20180101181937,Sleeping,Non-remote,480.0
20180101181937,Socialising & relaxing,Non-remote,100.0
20180101181937,Travelling,Non-remote,65.0
20180101181937,Working,Non-remote,580.0
20180101181968,Doing housework,Non-remote,0.0
20180101181968,Eating & Drinking,Non-remote,10.0
20180101181968,Exercising,Non-remote,0.0
20180101181968,Sleeping,Non-remote,470.0
20180101181968,Socialising & relaxing,Non-remote,60.0
20180101181968,Travelling,Non-remote,20.0
20180101181968,Working,Non-remote,560.0
20180101182000,Doing housework,Non-remote,5.0
20180101182000,Eating & Drinking,Non-remote,40.0
20180101182000,Exercising,Non-remote,0.0
20180101182000,Sleeping,Non-remote,300.0
20180101182000,Socialising & relaxing,Non-remote,350.0
20180101182000,Travelling,Non-remote,74.0
20180101182000,Working,Non-remote,441.0
20180101182102,Doing housework,Remote,0.0
20180101182102,Eating & Drinking,Remote,0.0
20180101182102,Exercising,Remote,95.0
20180101182102,Sleeping,Remote,440.0
20180101182102,Socialising & relaxing,Remote,35.0
20180101182102,Travelling,Remote,145.0
20180101182102,Working,Remote,350.0
20180101182140,Doing housework,Non-remote,0.0
20180101182140,Eating & Drinking,Non-remote,60.0
20180101182140,Exercising,Non-remote,0.0
20180101182140,Sleeping,Non-remote,465.0
20180101182140,Socialising & relaxing,Non-remote,60.0
20180101182140,Travelling,Non-remote,290.0
20180101182140,Working,Non-remote,460.0
20180101182165,Doing housework,Remote,5.0
20180101182165,Eating & Drinking,Remote,105.0
20180101182165,Exercising,Remote,60.0
20180101182165,Sleeping,Remote,520.0
20180101182165,Socialising & relaxing,Remote,160.0
20180101182165,Travelling,Remote,35.0
20180101182165,Working,Remote,495.0
20180101182192,Doing housework,Non-remote,40.0
20180101182192,Eating & Drinking,Non-remote,50.0
20180101182192,Exercising,Non-remote,0.0
20180101182192,Sleeping,Non-remote,555.0
